LanePointX,LanePointY
239.044120,-1.650000
239.315934,-1.650000
239.588819,-1.650000
254.586352,-1.650000
254.859757,-1.650000
255.133261,-1.650000
255.407144,-1.650000
255.681521,-1.650000
255.955361,-1.650000
256.228810,-1.650000
256.503544,-1.650000
256.777018,-1.650000
257.050336,-1.650000
257.325216,-1.650000
257.599329,-1.650000
257.873592,-1.650000
258.147561,-1.650000
258.421146,-1.650000
262.810225,-1.650000
263.084267,-1.650000
263.358398,-1.650000
263.633228,-1.650000
263.907164,-1.650000
264.181925,-1.650000
264.456543,-1.650000
264.731482,-1.650000
265.005834,-1.650000
265.280528,-1.650000
265.555508,-1.650000
265.829722,-1.650000
266.105556,-1.650000
266.379718,-1.650000
266.653831,-1.650000
271.054773,-1.650000
271.329316,-1.650000
271.605440,-1.650000
271.880028,-1.650000
272.154964,-1.650000
272.431407,-1.650000
272.706004,-1.650000
272.981292,-1.650000
273.256420,-1.650000
273.531255,-1.650000
273.807777,-1.650000
274.082898,-1.650000
274.358357,-1.650000
274.634031,-1.650000
274.908747,-1.650000
